date,Cases inz_entries 0 - 9,Cases inz_entries 10 - 19,Cases inz_entries 20 - 29,Cases inz_entries 30 - 39,Cases inz_entries 40 - 49,Cases inz_entries 50 - 59,Cases inz_entries 60 - 69,Cases inz_entries 70 - 79,Cases inz_entries 80+,Cases inzsumTotal 0 - 9,Cases inzsumTotal 10 - 19,Cases inzsumTotal 20 - 29,Cases inzsumTotal 30 - 39,Cases inzsumTotal 40 - 49,Cases inzsumTotal 50 - 59,Cases inzsumTotal 60 - 69,Cases inzsumTotal 70 - 79,Cases inzsumTotal 80+,Death inz_entries 0 - 9,Death inz_entries 10 - 19,Death inz_entries 20 - 29,Death inz_entries 30 - 39,Death inz_entries 40 - 49,Death inz_entries 50 - 59,Death inz_entries 60 - 69,Death inz_entries 70 - 79,Death inz_entries 80+,Death inzsumTotal 0 - 9,Death inzsumTotal 10 - 19,Death inzsumTotal 20 - 29,Death inzsumTotal 30 - 39,Death inzsumTotal 40 - 49,Death inzsumTotal 50 - 59,Death inzsumTotal 60 - 69,Death inzsumTotal 70 - 79,Death inzsumTotal 80+,Hosp inz_entries 0 - 9,Hosp inz_entries 10 - 19,Hosp inz_entries 20 - 29,Hosp inz_entries 30 - 39,Hosp inz_entries 40 - 49,Hosp inz_entries 50 - 59,Hosp inz_entries 60 - 69,Hosp inz_entries 70 - 79,Hosp inz_entries 80+,Hosp inzsumTotal 0 - 9,Hosp inzsumTotal 10 - 19,Hosp inzsumTotal 20 - 29,Hosp inzsumTotal 30 - 39,Hosp inzsumTotal 40 - 49,Hosp inzsumTotal 50 - 59,Hosp inzsumTotal 60 - 69,Hosp inzsumTotal 70 - 79,Hosp inzsumTotal 80+,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,VaccDosesAdministered per100PersonsTotal,FullyVaccPersons per100PersonsTotal,anteil_pos,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_inz_entries,test_inzsumTotal,median_R_mean,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",universities and other educational establishments ,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHolyday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation,maskMandatories,googleMobility,R_error,variant_error,testPositvity,ICU_AllPatients_inz,ICU_Covid19Patients_inz,ICU_Capacity_inz,Total_AllPatients_inz,Total_Covid19Patients_inz,Total_Capacity_inz,ICU_NonCovid19Patients_inz,ICU_FreeCapacity_inz,Total_NonCovid19Patients_inz,Total_FreeCapacity_inz
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,0.0,2.47,2.0,-1.0,31.0,12.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.7503666318912,0.0,0.0,269.98,278.46,49.59,0.07,0.0,7.666666666666667,1.97,100.0,0.0,1.0363839871764755,0.0,9.672917213647104,100.52924675611813,0.0,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
2020-02-16,0.0,0.0,0.7277777777777777,0.0,0.2844444444444444,0.0,0.3166666666666666,0.0,0.0,0.0,0.0,0.7277777777777777,0.0,0.2844444444444444,0.0,0.3166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3633333333333333,0.0,0.2844444444444444,0.0,0.0,0.3833333333333333,0.0,0.0,0.0,0.3633333333333333,0.0,0.2844444444444444,0.0,0.0,0.3833333333333333,0.0,0.0755555555555555,0.2344444444444444,0.0755555555555555,0.2344444444444444,0.0,0.0,0.0,0.0,0.1511111111111111,0.0777777777777777,0.1511111111111111,0.0777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,0.3419387755102041,2.47,17.0,13.0,41.0,11.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.1815672718391,0.438640218940042,1.154423707245252,272.42,280.82,58.01,0.09,0.0,13.166666666666666,1.97,100.0,0.0,1.1698576824946578,0.13347369531818243,9.672917213647104,101.03173596202186,0.5024892059037457,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
2020-02-17,0.0,0.0,1.4555555555555555,0.0,0.5688888888888889,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,1.4555555555555555,0.0,0.5688888888888889,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7266666666666667,0.0,0.5688888888888889,0.0,0.0,0.7666666666666667,0.0,0.0,0.0,0.7266666666666667,0.0,0.5688888888888889,0.0,0.0,0.7666666666666667,0.0,0.1511111111111111,0.4688888888888888,0.1511111111111111,0.4688888888888888,0.0,0.0,0.0,0.0,0.3022222222222222,0.1555555555555555,0.3022222222222222,0.1555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,0.6838775510204081,2.47,-3.0,-4.0,-3.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.5246952761707,0.877280437880084,2.308847414490504,272.95,280.63,59.24,0.19,0.0,-1.5,1.97,100.0,0.0,1.3033313778128404,0.2669473906363649,9.672917213647104,101.53422516792563,1.0049784118074914,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
2020-02-18,0.0,0.0,2.183333333333333,0.0,0.8533333333333333,0.0,0.95,0.0,0.0,0.0,0.0,2.183333333333333,0.0,0.8533333333333333,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.8533333333333333,0.0,0.0,1.15,0.0,0.0,0.0,1.09,0.0,0.8533333333333333,0.0,0.0,1.15,0.0,0.2266666666666666,0.7033333333333333,0.2266666666666666,0.7033333333333333,0.0,0.0,0.0,0.0,0.4533333333333333,0.2333333333333333,0.4533333333333333,0.2333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,1.0258163265306122,2.47,3.0,0.0,34.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.9136775682054,1.315920656820126,3.4632711217357564,271.78,279.62,39.44,0.01,0.0,7.166666666666667,1.97,100.0,0.0,1.436805073131023,0.40042108595454734,9.672917213647104,102.03671437382935,1.507467617711237,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
2020-02-19,0.0,0.0,2.911111111111111,0.0,1.1377777777777778,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,2.911111111111111,0.0,1.1377777777777778,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4533333333333334,0.0,1.1377777777777778,0.0,0.0,1.5333333333333334,0.0,0.0,0.0,1.4533333333333334,0.0,1.1377777777777778,0.0,0.0,1.5333333333333334,0.0,0.3022222222222222,0.9377777777777776,0.3022222222222222,0.9377777777777776,0.0,0.0,0.0,0.0,0.6044444444444445,0.3111111111111111,0.6044444444444445,0.3111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,1.3677551020408163,2.47,-4.0,-5.0,-11.0,-2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.6725849380059,1.754560875760168,4.6176948289810085,272.23,280.12,47.34,0.08,0.0,-3.1666666666666665,1.97,100.0,0.0,1.570278768449205,0.5338947812727298,9.672917213647104,102.5392035797331,2.0099568236149827,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
2020-02-20,0.0,0.0,3.638888888888889,0.0,1.4222222222222225,0.0,1.5833333333333333,0.0,0.0,0.0,0.0,3.638888888888889,0.0,1.4222222222222225,0.0,1.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8166666666666669,0.0,1.4222222222222225,0.0,0.0,1.9166666666666667,0.0,0.0,0.0,1.8166666666666669,0.0,1.4222222222222225,0.0,0.0,1.9166666666666667,0.0,0.3777777777777777,1.172222222222222,0.3777777777777777,1.172222222222222,0.0,0.0,0.0,0.0,0.7555555555555555,0.3888888888888889,0.7555555555555555,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,1.7096938775510204,2.47,5.0,0.0,46.0,9.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0540246815365,2.19320109470021,5.772118536226261,271.64,281.94,38.9,0.08,0.0,10.0,1.97,100.0,0.0,1.7037524637673878,0.6673684765909123,9.672917213647104,103.04169278563685,2.5124460295187285,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
2020-02-21,0.0,0.0,4.366666666666666,0.0,1.7066666666666666,0.0,1.9,0.0,0.0,0.0,0.0,4.366666666666666,0.0,1.7066666666666666,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,1.7066666666666666,0.0,0.0,2.3000000000000003,0.0,0.0,0.0,2.18,0.0,1.7066666666666666,0.0,0.0,2.3000000000000003,0.0,0.4533333333333333,1.4066666666666665,0.4533333333333333,1.4066666666666665,0.0,0.0,0.0,0.0,0.9066666666666668,0.4666666666666667,0.9066666666666668,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,2.0516326530612243,2.47,2.0,3.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.6920388982432,2.631841313640252,6.926542243471513,273.15,281.42,58.58,0.23,0.0,6.0,1.97,100.0,0.0,1.8372261590855703,0.8008421719090947,9.672917213647104,103.5441819915406,3.014935235422474,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
2020-02-22,0.0,0.0,5.094444444444444,0.0,1.991111111111111,0.0,2.216666666666667,0.0,0.0,0.0,0.0,5.094444444444444,0.0,1.991111111111111,0.0,2.216666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.543333333333333,0.0,1.991111111111111,0.0,0.0,2.6833333333333336,0.0,0.0,0.0,2.543333333333333,0.0,1.991111111111111,0.0,0.0,2.6833333333333336,0.0,0.5288888888888889,1.641111111111111,0.5288888888888889,1.641111111111111,0.0,0.0,0.0,0.0,1.0577777777777777,0.5444444444444445,1.0577777777777777,0.5444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,2.3935714285714287,2.47,-5.0,-1.0,57.0,33.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.6544883754501,3.070481532580294,8.080965950716765,273.59,281.09,47.53,0.03,0.0,13.166666666666666,1.97,100.0,0.0,1.9706998544037526,0.9343158672272771,9.672917213647104,104.04667119744434,3.5174244413262197,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
2020-02-23,0.0,0.0,5.822222222222222,0.0,2.275555555555556,0.0,2.533333333333333,0.0,0.0,0.0,0.0,5.822222222222222,0.0,2.275555555555556,0.0,2.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9066666666666667,0.0,2.275555555555556,0.0,0.0,3.066666666666667,0.0,0.0,0.0,2.9066666666666667,0.0,2.275555555555556,0.0,0.0,3.066666666666667,0.0,0.6044444444444445,1.8755555555555556,0.6044444444444445,1.8755555555555556,0.0,0.0,0.0,0.0,1.208888888888889,0.6222222222222222,1.208888888888889,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,2.7355102040816326,2.47,42.0,58.0,1.0,51.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.1812553039093,3.509121751520336,9.235389657962015,272.98,282.1,44.98,0.12,0.0,25.666666666666668,1.97,100.0,0.0,2.104173549721935,1.0677895625454596,9.672917213647104,104.54916040334807,4.0199136472299655,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
2020-02-24,0.0,0.0,6.55,0.0,2.56,0.0,2.85,0.0,0.0,0.0,0.0,6.55,0.0,2.56,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,2.56,0.0,0.0,3.45,0.0,0.0,0.0,3.27,0.0,2.56,0.0,0.0,3.45,0.0,0.68,2.11,0.68,2.11,0.0,0.0,0.0,0.0,1.36,0.7,1.36,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428281232624412,3.0774489795918365,2.47,6.0,-3.0,74.0,1.0,-16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.396421356613,3.947761970460378,10.389813365207267,273.43,281.13,44.78,0.09,0.0,10.5,1.97,100.0,0.0,2.237647245040117,1.201263257863642,9.672917213647104,105.05164960925183,4.522402853133712,212.11325604211865,1.0363839871764755,2.763690632470601,100.52924675611813,89.47448422623572
